,ddag_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
228,ki,0.00044104347898606485,k,i,0.0011488593467914,0.0011488593467914,21.26433849795851
229,kj,0.00044748875757675974,k,j,0.0011488593467914,0.0011488593467914,21.249830545684805
230,kk,0.00019830723439411016,k,k,0.0011488593467914,0.0011488593467914,22.063664443422212
231,kl,0.0004277948160336577,k,l,0.0011488593467914,0.0011488593467914,21.294838281509136
232,km,0.000452084474517596,k,m,0.0011488593467914,0.0011488593467914,21.23961290745461
233,kn,0.0005198686044250018,k,n,0.0011488593467914,0.0011488593467914,21.099905864503167
234,ko,0.0005038719624426038,k,o,0.0011488593467914,0.0011488593467914,21.13115976732621
235,kp,0.0005343954353568029,k,p,0.0011488593467914,0.0011488593467914,21.07234587978743
236,kq,0.0005023223570280832,k,q,0.0011488593467914,0.0011488593467914,21.134239901271823
237,kr,0.0003983996592795098,k,r,0.0011488593467914,0.0011488593467914,21.366026289862674
238,ks,0.0005321107526410433,k,s,0.0011488593467914,0.0011488593467914,21.076630311019688
239,kt,0.0004990479480927624,k,t,0.0011488593467914,0.0011488593467914,21.14077978085306
240,ku,0.0004461567771613633,k,u,0.0011488593467914,0.0011488593467914,21.252811551799635
241,kv,0.00043505745247148815,k,v,0.0011488593467914,0.0011488593467914,21.27800386333594
242,la,0.0005389940177994022,l,a,0.03840472673559823,0.03840472673559823,14.044955555600861
243,lb,0.0006149153953120527,l,b,0.03840472673559823,0.03840472673559823,13.913175338001057
244,lc,0.00036744355077183505,l,c,0.03840472673559823,0.03840472673559823,14.428090324233116
245,ld,0.0004414076528473655,l,d,0.03840472673559823,0.03840472673559823,14.24469119640391
246,le,0.0003116536765194786,l,e,0.03840472673559823,0.03840472673559823,14.592767467610548
247,lf,0.00039402124824901443,l,f,0.03840472673559823,0.03840472673559823,14.358255190336047
248,lg,0.0005245807898848681,l,g,0.03840472673559823,0.03840472673559823,14.072060579578935
249,lh,0.0006038882920035471,l,h,0.03840472673559823,0.03840472673559823,13.931270793929848
250,li,0.0006465222037681154,l,i,0.03840472673559823,0.03840472673559823,13.863052485548124
251,lj,0.0004101069922409065,l,j,0.03840472673559823,0.03840472673559823,14.318241945405642
252,lk,0.0004277948160336577,l,k,0.03840472673559823,0.03840472673559823,14.27601634890436
253,ll,0.00025825742574281293,l,l,0.03840472673559823,0.03840472673559823,14.780703166073103
254,lm,0.0005486855904606624,l,m,0.03840472673559823,0.03840472673559823,14.027134445260202
255,ln,0.0005547568455735632,l,n,0.03840472673559823,0.03840472673559823,14.016130126083988
256,lo,0.0005961973097769541,l,o,0.03840472673559823,0.03840472673559823,13.944088358794938
257,lp,0.00046203522389792745,l,p,0.03840472673559823,0.03840472673559823,14.199018897367104
258,lq,0.0003690178531672122,l,q,0.03840472673559823,0.03840472673559823,14.42381500230876
259,lr,0.00039994009741040363,l,r,0.03840472673559823,0.03840472673559823,14.34334524832649
260,ls,0.0005617245946890898,l,s,0.03840472673559823,0.03840472673559823,14.003648343000686
261,lt,0.0003605290833720788,l,t,0.03840472673559823,0.03840472673559823,14.447087399178997
262,lu,0.00042762763213600297,l,u,0.03840472673559823,0.03840472673559823,14.276407229223532
263,lv,0.0005288497824406194,l,v,0.03840472673559823,0.03840472673559823,14.063955601353902
264,ma,0.000719902463648234,m,a,0.002133595929755457,0.002133595929755457,19.53628780785982
265,mb,0.0006957945732999155,m,b,0.002133595929755457,0.002133595929755457,19.5703490800748
266,mc,0.0005802969392403491,m,c,0.002133595929755457,0.002133595929755457,19.751863606799187
267,md,0.0004767093963721512,m,d,0.002133595929755457,0.002133595929755457,19.948496470231238
268,me,0.0005702654800208767,m,e,0.002133595929755457,0.002133595929755457,19.769301536716927
269,mf,0.00046452258733388154,m,f,0.002133595929755457,0.002133595929755457,19.974393359267676
270,mg,0.0007031695165816608,m,g,0.002133595929755457,0.002133595929755457,19.559805547677858
271,mh,0.0006842080798185084,m,h,0.002133595929755457,0.002133595929755457,19.58714146191722
272,mi,0.0005618306055401068,m,i,0.002133595929755457,0.002133595929755457,19.784203152708418
273,mj,0.0006357378043482258,m,j,0.002133595929755457,0.002133595929755457,19.660617322513588
274,mk,0.000452084474517596,m,k,0.002133595929755457,0.002133595929755457,20.00153449064216
275,ml,0.0005486855904606624,m,l,0.002133595929755457,0.002133595929755457,19.807877961052533
276,mm,0.0002661491830026215,m,m,0.002133595929755457,0.002133595929755457,20.531346553611822
277,mn,0.000730256195645874,m,n,0.002133595929755457,0.002133595929755457,19.522008118025777
278,mo,0.0006534966713818148,m,o,0.002133595929755457,0.002133595929755457,19.63306610401127
279,mp,0.0006838463120719857,m,p,0.002133595929755457,0.002133595929755457,19.587670341115444
280,mq,0.0006173913603032849,m,q,0.002133595929755457,0.002133595929755457,19.68990042524591
281,mr,0.00043494009023838846,m,r,0.002133595929755457,0.002133595929755457,20.04019524552418
282,ms,0.0007381443239697079,m,s,0.002133595929755457,0.002133595929755457,19.5112641771227
283,mt,0.0006118617711619841,m,t,0.002133595929755457,0.002133595929755457,19.69889715065141
284,mu,0.0005096105317278376,m,u,0.002133595929755457,0.002133595929755457,19.881756772837907
285,mv,0.00033929829348249685,m,v,0.002133595929755457,0.002133595929755457,20.288523901284684
286,na,0.00037243056709710906,n,a,0.008370260955194487,0.008370260955194487,17.461600369621827
287,nb,0.0004559406898875717,n,b,0.008370260955194487,0.008370260955194487,17.25928825799357
288,nc,0.0004163144761340147,n,c,0.008370260955194487,0.008370260955194487,17.3502100660941
289,nd,0.00048398675922484217,n,d,0.008370260955194487,0.008370260955194487,17.199593443643654
290,ne,0.0005416521115077796,n,e,0.008370260955194487,0.008370260955194487,17.087027058340478
291,nf,0.0005370160153309383,n,f,0.008370260955194487,0.008370260955194487,17.095623075240944
292,ng,0.00039395369867313546,n,g,0.008370260955194487,0.008370260955194487,17.405417606678263
293,nh,0.00046592787249877347,n,h,0.008370260955194487,0.008370260955194487,17.237620150912182
294,ni,0.0005849800684467481,n,i,0.008370260955194487,0.008370260955194487,17.010073217392385
295,nj,0.00045521962433068544,n,j,0.008370260955194487,0.008370260955194487,17.260870999682737
296,nk,0.0005198686044250018,n,k,0.008370260955194487,0.008370260955194487,17.128074897165142
297,nl,0.0005547568455735632,n,l,0.008370260955194487,0.008370260955194487,17.063121091350737
298,nm,0.000730256195645874,n,m,0.008370260955194487,0.008370260955194487,16.788255567500197
299,nn,0.00031879863554811535,n,n,0.008370260955194487,0.008370260955194487,17.617091326067708
300,no,0.00042770942671254363,n,o,0.008370260955194487,0.008370260955194487,17.323206937544395
301,np,0.0004499464073821093,n,p,0.008370260955194487,0.008370260955194487,17.272522512047008
302,nq,0.0005290083143092983,n,q,0.008370260955194487,0.008370260955194487,17.110646844247015
303,nr,0.000580295700767668,n,r,0.008370260955194487,0.008370260955194487,17.018113190480978
304,ns,0.0003742662300411543,n,s,0.008370260955194487,0.008370260955194487,17.456683603809754
